game_id,title,rank,country_code,country_name,players_pct,captured_date,confidence_class,src_est
427410,Abiotic Factor,3,RU,Russia,7.7,2026-08-12,EST,S055
427410,Abiotic Factor,,OTHERS,All other countries,44.3,2026-08-12,EST,S055
1374490,RuneScape: Dragonwilds,1,US,United States,40.1,2026-08-12,EST,S055
1374490,RuneScape: Dragonwilds,2,GB,United Kingdom,8.0,2026-08-12,EST,S055
1374490,RuneScape: Dragonwilds,3,CA,Canada,5.0,2026-08-12,EST,S055
1374490,RuneScape: Dragonwilds,,OTHERS,All other countries,46.9,2026-08-12,EST,S055
1645820,SurrounDead,1,US,United States,31.7,2026-08-12,EST,S055
1645820,SurrounDead,2,GB,United Kingdom,6.6,2026-08-12,EST,S055
1645820,SurrounDead,3,CA,Canada,4.6,2026-08-12,EST,S055
1645820,SurrounDead,,OTHERS,All other countries,57.1,2026-08-12,EST,S055
221100,DayZ,1,US,United States,20.0,2026-08-12,EST,S055
221100,DayZ,2,RU,Russia,12.2,2026-08-12,EST,S055
221100,DayZ,3,DE,Germany,8.2,2026-08-12,EST,S055
221100,DayZ,,OTHERS,All other countries,59.6,2026-08-12,EST,S055
1149460,ICARUS,1,US,United States,23.2,2026-08-12,EST,S055
1149460,ICARUS,2,RU,Russia,11.1,2026-08-12,EST,S055
1149460,ICARUS,3,DE,Germany,9.8,2026-08-12,EST,S055
1149460,ICARUS,,OTHERS,All other countries,55.9,2026-08-12,EST,S055
1898300,ASKA,1,US,United States,21.6,2026-08-12,EST,S055
1898300,ASKA,2,DE,Germany,12.6,2026-08-12,EST,S055
1898300,ASKA,3,RU,Russia,8.6,2026-08-12,EST,S055
1898300,ASKA,,OTHERS,All other countries,57.2,2026-08-12,EST,S055
